Dutch	3	4917128	1837
			1)	voo	34	21568	0.003098883
			2)	vol	217	4906	7.0489245E-4
			3)	voe	281	3534	5.0776394E-4
			4)	vor	389	2654	3.8132584E-4
			5)	von	1445	363	5.215572E-5
			6)	vou	1750	229	3.2902644E-5
		4)	vi	0	0	0.0
			1)	vin	369	2759	3.9641222E-4
			2)	vis	1029	743	1.0675399E-4
			3)	vie	1201	546	7.84491E-5
			4)	vit	1348	418	6.00581E-5
			5)	vij	1414	381	5.4741955E-5
			6)	via	1729	235	3.376472E-5
		5)	vr	0	0	0.0
			1)	vra	417	2521	3.6221644E-4
			2)	vro	499	2119	3.044572E-4
			3)	vri	792	1171	1.682489E-4
			4)	vre	1014	760	1.09196546E-4
		6)	vu	0	0	0.0
			1)	vul	1371	405	5.8190264E-5
			2)	vui	1728	235	3.376472E-5
		7)	vl	0	0	0.0
			1)	vla	1460	356	5.114996E-5
			2)	vlo	1574	296	4.252918E-5
			3)	vlu	1632	271	3.893719E-5
	6)	i	0	0	0.0
		1)	in	0	0	0.0
			1)	ing	10	34738	0.0049911444
			2)	in_	30	22268	0.0031994588
			3)	ind	196	5482	7.876519E-4
			4)	ins	325	3112	4.4713114E-4
			5)	int	416	2525	3.6279115E-4
			6)	ini	537	1939	2.7859487E-4
			7)	inn	546	1895	2.7227297E-4
			8)	ina	599	1717	2.4669798E-4
			9)	inz	858	1049	1.5071998E-4
			10)	ine	898	976	1.4023135E-4
			11)	inf	1036	733	1.05317195E-4
			12)	inv	1075	678	9.741481E-5
			13)	inc	1214	534	7.6724944E-5
			14)	ink	1484	346	4.9713166E-5
			15)	inh	1540	317	4.5546454E-5
			16)	inb	1826	203	2.9166973E-5
		2)	ie	0	0	0.0
			1)	ie_	35	20928	0.0030069281
			2)	iet	97	10262	0.0014744408
			3)	ien	179	6096	8.758713E-4
			4)	ier	240	4383	6.29748E-4
			5)	ieu	277	3559	5.1135593E-4
			6)	ies	311	3259	4.6825205E-4
			7)	ied	321	3158	4.537404E-4
			8)	iek	408	2575	3.6997514E-4
			9)	iev	634	1596	2.2931275E-4
			10)	ief	724	1334	1.9166867E-4
			11)	iem	1154	590	8.4771E-5
			12)	iep	1191	555	7.974222E-5
			13)	iee	1259	488	7.0115675E-5
			14)	iez	1284	472	6.78168E-5
			15)	iel	1330	428	6.1494895E-5
			16)	ieb	1556	309	4.4397017E-5
			17)	ieë	1687	250	3.591992E-5
			18)	ieg	1795	213	3.060377E-5
		3)	ij	0	0	0.0
			1)	ijk	43	17866	0.002566981
			2)	ijn	48	16064	0.0023080702
			3)	ij_	49	15909	0.0022858
			4)	ijd	233	4506	6.474206E-4
			5)	ijz	472	2222	3.192562E-4
			6)	ijv	624	1633	2.346289E-4
			7)	ijf	669	1510	2.169563E-4
			8)	ijg	849	1061	1.5244413E-4
			9)	ijs	861	1040	1.4942685E-4
			10)	ije	1024	750	1.0775975E-4
			11)	ijl	1264	482	6.92536E-5
			12)	ijh	1328	429	6.163858E-5
			13)	ijt	1347	419	6.0201783E-5
			14)	ijp	1424	376	5.4023556E-5
		4)	is	0	0	0.0
			1)	is_	47	16542	0.0023767492
			2)	isc	219	4773	6.8578304E-4
			3)	iss	300	3345	4.806085E-4
			4)	ist	348	2943	4.2284926E-4
			5)	ise	643	1573	2.2600812E-4
			6)	ism	925	922	1.3247265E-4
			7)	isi	1066	683	9.813321E-5
			8)	isa	1159	585	8.4052605E-5
			9)	isb	1785	217	3.117849E-5
			10)	isd	1797	212	3.0460089E-5
		5)	it	0	0	0.0
			1)	it_	76	12426	0.0017853635
