Italian	3	886921	993
			3)	_is	804	288	2.3780663E-4
		5)	_d	0	0	0.0
			1)	_di	26	3568	0.0029461598
			2)	_de	27	3478	0.0028718454
			3)	_do	149	1449	0.0011964646
			4)	_da	414	657	5.424964E-4
			5)	_du	665	379	3.129469E-4
		6)	_s	0	0	0.0
			1)	_si	47	2706	0.0022343914
			2)	_se	54	2498	0.0020626422
			3)	_st	66	2251	0.00185869
			4)	_so	75	2115	0.0017463925
			5)	_sp	310	869	7.175485E-4
			6)	_sa	313	863	7.125942E-4
			7)	_sc	408	666	5.499278E-4
			8)	_sv	442	612	5.0533906E-4
			9)	_su	459	585	4.830447E-4
			10)	_sf	937	216	1.7835497E-4
		7)	_a	0	0	0.0
			1)	_al	96	1857	0.0015333573
			2)	_at	236	1032	8.521404E-4
			3)	_an	241	1013	8.3645177E-4
			4)	_ap	245	999	8.2489173E-4
			5)	_as	267	947	7.8195444E-4
			6)	_ad	311	864	7.1341987E-4
			7)	_am	324	824	6.803912E-4
			8)	_av	340	802	6.622254E-4
			9)	_ac	364	749	6.184624E-4
			10)	_au	397	685	5.656165E-4
			11)	_af	502	521	4.301988E-4
			12)	_ar	529	492	4.06253E-4
			13)	_ag	753	312	2.5762385E-4
			14)	_ab	788	296	2.4441237E-4
			15)	_ai	808	286	2.3615519E-4
			16)	_az	960	209	1.7257495E-4
		8)	_m	0	0	0.0
			1)	_me	101	1823	0.0015052829
			2)	_mo	142	1498	0.0012369248
			3)	_ma	144	1483	0.001224539
			4)	_mi	282	928	7.662658E-4
		9)	_e	0	0	0.0
			1)	_es	113	1685	0.0013913339
			2)	_eu	136	1533	0.0012658249
			3)	_ec	453	592	4.8882473E-4
			4)	_el	571	453	3.7405003E-4
			5)	_em	697	354	2.9230397E-4
			6)	_ef	699	351	2.8982683E-4
			7)	_en	705	343	2.832211E-4
			8)	_e_	765	307	2.5349527E-4
			9)	_ev	832	275	2.270723E-4
		10)	_f	0	0	0.0
			1)	_fa	115	1667	0.001376471
			2)	_fo	211	1109	9.1572065E-4
			3)	_fi	229	1059	8.744348E-4
			4)	_fu	516	502	4.1451017E-4
			5)	_fr	679	367	3.030383E-4
		11)	_q	0	0	0.0
			1)	_qu	138	1523	0.0012575677
		12)	_t	0	0	0.0
			1)	_tr	151	1441	0.0011898589
			2)	_te	163	1369	0.0011304072
			3)	_ta	308	877	7.2415423E-4
			4)	_tu	595	433	3.5753567E-4
		13)	_g	0	0	0.0
			1)	_gi	172	1324	0.0010932499
			2)	_gr	243	1007	8.314975E-4
			3)	_ge	607	425	3.509299E-4
			4)	_go	818	281	2.320266E-4
			5)	_ga	872	250	2.0642937E-4
		14)	_v	0	0	0.0
			1)	_vo	201	1157	9.553551E-4
			2)	_ve	223	1080	8.9177483E-4
			3)	_vi	293	900	7.431457E-4
			4)	_va	413	659	5.441478E-4
		15)	_n	0	0	0.0
			1)	_ne	272	942	7.7782583E-4
			2)	_no	355	756	6.242424E-4
			3)	_nu	363	750	6.192881E-4
			4)	_na	488	543	4.483646E-4
		16)	_l	0	0	0.0
			1)	_li	306	884	7.2993425E-4
			2)	_la	356	756	6.242424E-4
			3)	_le	490	540	4.4588742E-4
			4)	_lo	720	333	2.749639E-4
			5)	_lu	735	324	2.6753245E-4
		17)	_o	0	0	0.0
