French	3	26599942	2848
			9)	dut	2530	346	9.294389E-6
			10)	duq	2568	318	8.5422425E-6
			11)	dul	2778	228	6.1246265E-6
		4)	do	0	0	0.0
			1)	don	258	21822	5.8619125E-4
			2)	doi	388	14706	3.950384E-4
			3)	dom	830	5932	1.5934774E-4
			4)	dop	919	5216	1.4011427E-4
			5)	dou	1242	2994	8.042601E-5
			6)	doc	1447	2158	5.7969053E-5
			7)	dor	1743	1387	3.7258145E-5
			8)	dos	1908	1056	2.836669E-5
			9)	dob	2210	639	1.7165072E-5
			10)	dol	2262	572	1.536529E-5
			11)	dot	2270	564	1.5150392E-5
		5)	dr	0	0	0.0
			1)	dre	267	21266	5.7125575E-4
			2)	dro	439	12692	3.4093755E-4
			3)	dra	507	10902	2.9285386E-4
			4)	dri	2099	773	2.0764634E-5
		6)	di	0	0	0.0
			1)	dis	317	17548	4.7138135E-4
			2)	dir	350	16250	4.3651395E-4
			3)	dit	512	10780	2.8957665E-4
			4)	dif	545	10090	2.710416E-4
			5)	din	765	6755	1.8145549E-4
			6)	dia	776	6570	1.7648595E-4
			7)	dic	825	5947	1.5975068E-4
			8)	diq	1027	4302	1.15562034E-4
			9)	div	1237	3013	8.09364E-5
			10)	die	1303	2721	7.309258E-5
			11)	dim	1329	2588	6.951988E-5
			12)	did	1591	1770	4.7546444E-5
			13)	di_	1728	1407	3.779539E-5
			14)	dig	1825	1213	3.258409E-5
			15)	dio	1934	1028	2.7614544E-5
			16)	dix	2110	762	2.0469146E-5
			17)	dip	2374	461	1.2383565E-5
			18)	dib	2433	413	1.109417E-5
			19)	dil	2670	271	7.2797097E-6
		7)	dé	0	0	0.0
			1)	déc	374	15234	4.0922174E-4
			2)	dép	538	10242	2.7512468E-4
			3)	dév	659	8098	2.1753169E-4
			4)	déb	688	7641	2.0525558E-4
			5)	déf	745	7014	1.8841286E-4
			6)	dém	768	6734	1.8089138E-4
			7)	dér	812	6077	1.6324279E-4
			8)	dét	907	5329	1.4314971E-4
			9)	déj	951	4981	1.338016E-4
			10)	dél	1074	4017	1.0790625E-4
			11)	dés	1158	3434	9.224547E-5
			12)	dée	1224	3065	8.2333245E-5
			13)	dé_	1273	2863	7.690704E-5
			14)	dén	1919	1045	2.8071205E-5
			15)	dég	1924	1040	2.7936892E-5
			16)	déq	1966	981	2.635201E-5
			17)	déd	2586	313	8.40793E-6
			18)	déo	2707	254	6.823049E-6
		8)	ds	0	0	0.0
			1)	ds_	753	6901	1.853774E-4
		9)	dh	0	0	0.0
			1)	dhu	1077	3976	1.0680489E-4
			2)	dhé	1606	1716	4.6095873E-5
			3)	dha	2722	248	6.6618745E-6
		10)	dg	0	0	0.0
			1)	dge	1346	2523	6.777383E-5
			2)	dgé	1573	1805	4.8486625E-5
		11)	dè	0	0	0.0
			1)	dès	1369	2440	6.554425E-5
			2)	dèl	1985	961	2.5814763E-5
			3)	dèr	2029	878	2.3585184E-5
		12)	dm	0	0	0.0
			1)	dmi	1439	2179	5.853316E-5
			2)	dme	2536	340	9.133215E-6
		13)	dê	0	0	0.0
			1)	dêt	1776	1321	3.5485227E-5
		14)	dû	0	0	0.0
			1)	dû_	2095	783	2.1033256E-5
		15)	dd	0	0	0.0
