French	3	196667698	4358
			8)	noi	2170	6732	2.6708123E-5
			9)	nop	2389	4648	1.8440189E-5
			10)	noc	2471	3999	1.5865387E-5
			11)	nos	2952	1808	7.1729482E-6
			12)	nob	3082	1460	5.7923144E-6
			13)	nog	3364	933	3.7015268E-6
			14)	nof	3655	577	2.2891543E-6
			15)	noy	3695	547	2.1701342E-6
			16)	noe	3852	423	1.6781842E-6
			17)	no_	4121	287	1.1386262E-6
			18)	noa	4213	249	9.878673E-7
		8)	na	0	0	0.0
			1)	nan	268	170886	6.779626E-4
			2)	nat	305	158487	6.2877155E-4
			3)	nal	348	140079	5.557408E-4
			4)	nai	599	78782	3.1255485E-4
			5)	nau	683	69487	2.7567844E-4
			6)	na_	1359	22791	9.041961E-5
			7)	nac	1477	19814	7.860884E-5
			8)	nav	1517	18817	7.4653406E-5
			9)	naî	1668	14746	5.8502374E-5
			10)	nar	1850	11434	4.5362547E-5
			11)	nag	1974	9350	3.7094615E-5
			12)	nab	1989	9104	3.611865E-5
			13)	nam	2391	4619	1.8325136E-5
			14)	nad	2531	3681	1.4603773E-5
			15)	nap	2545	3587	1.4230844E-5
			16)	nay	3236	1143	4.534668E-6
			17)	nas	3293	1030	4.086359E-6
			18)	naz	3656	577	2.2891543E-6
			19)	naï	3732	516	2.0471466E-6
			20)	naf	3862	418	1.6583475E-6
			21)	naç	3951	368	1.4599806E-6
		9)	ni	0	0	0.0
			1)	nio	284	164391	6.521947E-4
			2)	nir	408	119799	4.752832E-4
			3)	nis	425	117058	4.6440872E-4
			4)	niè	629	75350	2.9893895E-4
			5)	nit	630	75292	2.9870885E-4
			6)	nie	685	69294	2.7491275E-4
			7)	niq	802	56392	2.2372615E-4
			8)	niv	869	51875	2.0580569E-4
			9)	nif	1093	35569	1.4111426E-4
			10)	nim	1235	28400	1.1267242E-4
			11)	nic	1570	17523	6.951967E-5
			12)	nib	2151	6961	2.7616643E-5
			13)	ni_	2302	5431	2.1546615E-5
			14)	nin	2578	3401	1.3492919E-5
			15)	nil	2773	2374	9.418462E-6
			16)	nia	2811	2216	8.791622E-6
			17)	nip	3105	1414	5.6098165E-6
			18)	nig	3356	949	3.7650043E-6
			19)	niu	3419	860	3.4119112E-6
			20)	nié	3974	350	1.3885685E-6
		10)	né	0	0	0.0
			1)	née	437	111590	4.427153E-4
			2)	néc	760	61617	2.444555E-4
			3)	né_	872	51686	2.0505585E-4
			4)	nér	944	45687	1.8125579E-4
			5)	nég	1002	41872	1.661204E-4
			6)	nés	1396	21806	8.651178E-5
			7)	néf	1502	19226	7.6276054E-5
			8)	nét	1514	18864	7.4839874E-5
			9)	néa	1854	11390	4.5187986E-5
			10)	név	2641	2984	1.1838538E-5
			11)	ném	2742	2541	1.00810075E-5
			12)	néo	3197	1209	4.7965123E-6
			13)	nép	3898	399	1.582968E-6
			14)	nél	3899	397	1.5750334E-6
			15)	néq	3979	348	1.3806338E-6
			16)	néd	4129	283	1.1227568E-6
			17)	néi	4212	249	9.878673E-7
		11)	nf	0	0	0.0
			1)	nfo	553	88500	3.5110945E-4
			2)	nfi	954	44853	1.7794703E-4
			3)	nfl	1381	22180	8.799557E-5
			4)	nfa	1478	19813	7.860488E-5
			5)	nfr	1512	18931	7.510569E-5
			6)	nfé	1792	12338	4.8949023E-5
			7)	nfe	2717	2611	1.0358721E-5
			8)	nfu	2850	2096	8.315542E-6
			9)	nfè	3430	850	3.3722376E-6
		12)	nv	0	0	0.0
			1)	nvi	561	86875	3.4466252E-4
			2)	nve	817	55804	2.2139336E-4
			3)	nvo	1766	12674	5.0282048E-5
			4)	nva	1820	11786	4.675905E-5
			5)	nvé	3428	853	3.3841397E-6
			6)	nvr	4319	211	8.371084E-7
		13)	ng	0	0	0.0
			1)	nge	708	66681	2.645461E-4
			2)	nga	1149	32662	1.2958121E-4
			3)	ng_	1424	21222	8.419486E-5
			4)	ngu	1496	19346	7.6752134E-5
			5)	ngè	1825	11731	4.654085E-5
			6)	ngt	2004	8880	3.5229965E-5
			7)	ngé	2122	7347	2.9148036E-5
			8)	ngl	2179	6664	2.6438343E-5
			9)	ngr	2373	4815	1.9102736E-5
			10)	ngi	2897	1966	7.799787E-6
			11)	ngo	3139	1343	5.3281356E-6
			12)	ngs	3166	1287	5.1059646E-6
		14)	nu	0	0	0.0
			1)	nue	843	53794	2.1341901E-4
			2)	nu_	947	45574	1.8080749E-4
			3)	nus	1464	20189	8.00966E-5
			4)	nut	1770	12619	5.0063845E-5
			5)	nuc	1901	10481	4.1581676E-5
			6)	nui	2271	5789	2.2966922E-5
			7)	num	2414	4363	1.7309498E-5
			8)	nul	2661	2882	1.143387E-5
			9)	nua	2894	1971	7.819624E-6
			10)	nué	2978	1724	6.8396917E-6
			11)	nur	3129	1374	5.4511233E-6
			12)	nuo	3316	1008	3.9990773E-6
			13)	nuv	3760	494	1.9598651E-6
			14)	nuf	3998	339	1.3449278E-6
		15)	nq	0	0	0.0
			1)	nqu	1012	40529	1.6079226E-4
			2)	nq_	3637	593	2.3526318E-6
		16)	n’	0	0	0.0
			1)	n’e	1714	13480	5.3479722E-5
			2)	n’a	1801	12227	4.850865E-5
			3)	n’o	2614	3164	1.2552659E-5
			4)	n’y	2770	2383	9.454167E-6
			5)	n’é	3097	1422	5.641555E-6
			6)	n’i	3345	963	3.820547E-6
		17)	nr	0	0	0.0
			1)	nre	1750	12921	5.126198E-5
			2)	nré	2709	2636	1.0457904E-5
			3)	nri	3171	1280	5.078193E-6
			4)	nra	3521	730	2.8961572E-6
		18)	ny	0	0	0.0
			1)	ny_	1837	11558	4.58545E-5
			2)	nym	3209	1189	4.7171657E-6
		19)	nm	0	0	0.0
			1)	nmo	1938	9902	3.9284587E-5
		20)	nç	0	0	0.0
			1)	nça	2030	8532	3.3849334E-5
			2)	nço	2877	2023	8.025926E-6
			3)	nçu	2929	1884	7.4744657E-6
		21)	nê	0	0	0.0
			1)	nêt	2149	6968	2.7644415E-5
		22)	nj	0	0	0.0
			1)	njo	2333	5158	2.0463533E-5
			2)	nju	2500	3865	1.5333764E-5
			3)	nje	2674	2829	1.12236E-5
		23)	n 	0	0	0.0
			1)	n _	2817	2204	8.744014E-6
		24)	nè	0	0	0.0
			1)	nèt	2830	2156	8.553582E-6
			2)	nèr	3369	919	3.6459842E-6
		25)	n°	0	0	0.0
			1)	n°_	2958	1793	7.113438E-6
			2)	n° 	3821	441	1.7495963E-6
		26)	nl	0	0	0.0
			1)	nla	2987	1705	6.7643123E-6
			2)	nl_	3177	1268	5.0305853E-6
			3)	nle	3355	950	3.7689715E-6
			4)	nlè	3459	811	3.2175114E-6
			5)	nli	3916	386	1.5313926E-6
			6)	nlé	4222	246	9.759652E-7
		27)	nô	0	0	0.0
			1)	nôt	3090	1427	5.661392E-6
		28)	nh	0	0	0.0
			1)	nhé	3268	1086	4.3085297E-6
			2)	nhu	3434	843	3.3444664E-6
			3)	nha	3679	556	2.2058402E-6
			4)	nhe	4052	318	1.2616136E-6
		29)	nœ	0	0	0.0
			1)	nœu	3376	906	3.5944088E-6
		30)	np	0	0	0.0
			1)	npr	3474	790	3.1341974E-6
		31)	nk	0	0	0.0
			1)	nki	3788	473	1.8765511E-6
			2)	nka	3959	362	1.4361765E-6
		32)	nz	0	0	0.0
			1)	nza	4252	235	9.3232455E-7
	3)	i	0	0	0.0
		1)	io	0	0	0.0
			1)	ion	4	2343817	0.009298716
			2)	ior	822	55416	2.1985403E-4
			3)	iol	1349	23319	9.251437E-5
			4)	iod	1566	17656	7.004733E-5
			5)	iot	2421	4333	1.7190478E-5
			6)	ioc	2841	2121	8.414725E-6
			7)	io_	2847	2100	8.331411E-6
			8)	ioé	2878	2022	8.021959E-6
			9)	iom	3062	1512	5.998616E-6
			10)	iov	3134	1351	5.359874E-6
			11)	iox	3189	1229	4.875859E-6
			12)	ioa	3267	1090	4.324399E-6
			13)	ios	3394	887	3.5190292E-6
			14)	iop	3590	653	2.590672E-6
			15)	iog	4034	326	1.2933524E-6
		2)	ir	0	0	0.0
			1)	ire	28	685297	0.002718805
			2)	ir_	77	390570	0.0015495234
			3)	iro	911	48486	1.9236037E-4
			4)	ira	1126	33902	1.345007E-4
			5)	irm	1411	21408	8.4932784E-5
			6)	irc	1627	15889	6.303704E-5
			7)	irs	1830	11696	4.640199E-5
			8)	irl	1987	9117	3.6170226E-5
			9)	iri	2006	8835	3.5051435E-5
			10)	irr	2186	6573	2.6077316E-5
			11)	iré	2226	6246	2.4779996E-5
			12)	iru	3280	1054	4.1815747E-6
			13)	irf	3599	646	2.5629006E-6
			14)	irt	3663	574	2.2772524E-6
		3)	iq	0	0	0.0
			1)	iqu	33	623051	0.0024718542
		4)	it	0	0	0.0
			1)	it_	35	600882	0.0023839022
			2)	ité	43	494533	0.0019619798
			3)	iti	54	470111	0.0018650895
			4)	ite	162	248387	9.854353E-4
			5)	itu	302	159050	6.310052E-4
			6)	its	391	125660	4.9853575E-4
			7)	ita	397	122713	4.8684402E-4
			8)	ito	587	80508	3.194025E-4
			9)	itr	1499	19245	7.635143E-5
			10)	itè	1814	11948	4.740176E-5
			11)	itt	2410	4370	1.733727E-5
			12)	itc	3519	734	2.9120265E-6
			13)	it 	3903	395	1.5670987E-6
			14)	ith	4039	324	1.2854176E-6
			15)	itô	4108	293	1.1624302E-6
		5)	is	0	0	0.0
			1)	is_	51	479681	0.0019030569
			2)	iss	118	308529	0.001224039
			3)	ise	157	254757	0.0010107072
			4)	ist	210	206045	8.174503E-4
			5)	isa	258	174094	6.9068983E-4
			6)	isi	417	118407	4.6976065E-4
			7)	isé	669	70764	2.8074475E-4
			8)	iso	674	70382	2.7922922E-4
			9)	isp	734	63828	2.5322728E-4
			10)	isc	795	57057	2.2636443E-4
			11)	ism	905	49184	1.9512957E-4
			12)	isl	1009	40691	1.6143497E-4
