French	4	1859598
					2)	_dota	0.25	9
					3)	_doté	0.16666667	6
					4)	Esc	0.083333336	3
				10)	_dob	0.011240466	28
					1)	_dobt	0.31034482	9
					2)	_dobs	0.20689656	6
					3)	_dobj	0.37931034	11
					4)	Esc	0.10344828	3
				11)	_dop	0.006021678	15
					1)	_dopp	0.1875	3
					2)	_dopé	0.3125	5
					3)	_dopt	0.3125	5
					4)	Esc	0.1875	3
				12)	_doù	0.0024086712	6
					1)	_doù_	0.85714287	6
					2)	Esc	0.14285715	1
				13)	_dol	0.006423123	16
					1)	_doll	0.9375	15
					2)	Esc	0.0625	1
				14)	_dog	0.002007226	5
					1)	_dogm	0.8333333	5
					2)	Esc	0.16666667	1
				15)	Esc	0.005620233	14
			8)	_dr	0.009805567	409
				1)	_dro	0.91019416	375
					1)	_droi	0.9628647	363
					2)	_drog	0.03183024	12
					3)	Esc	0.0053050397	2
				2)	_dra	0.05582524	23
					1)	_dram	0.7916667	19
					2)	_dras	0.125	3
					3)	Esc	0.083333336	2
				3)	_dre	0.026699029	11
					1)	_dres	0.9166667	11
					2)	Esc	0.083333336	1
				4)	Esc	0.0072815535	3
			9)	_dh	9.5897965E-4	40
				1)	_dhy	0.06521739	3
				2)	_dha	0.23913044	11
					1)	_dhar	0.41666666	5
					2)	_dhab	0.41666666	5
					3)	Esc	0.16666667	2
				3)	_dhi	0.10869565	5
					1)	_dhie	0.8333333	5
					2)	Esc	0.16666667	1
				4)	_dhu	0.06521739	3
				5)	_dho	0.10869565	5
					1)	_dhom	0.8	4
					2)	Esc	0.2	1
				6)	_dhe	0.2826087	13
					1)	_dhel	0.9230769	12
					2)	Esc	0.07692308	1
				7)	Esc	0.13043478	6
			10)	_dè	0.0029488625	123
				1)	_dès	0.9919355	123
					1)	_dès_	0.9919355	123
					2)	Esc	0.008064516	1
				2)	Esc	0.008064516	1
			11)	_d_	0.022320252	931
			12)	_dû	0.0010788521	45
				1)	_dû_	0.87234044	41
				2)	_dûm	0.08510638	4
					1)	_dûme	0.8	4
					2)	Esc	0.2	1
				3)	Esc	0.04255319	2
			13)	_dy	8.6308166E-4	36
				1)	_dy_	0.43589744	17
				2)	_dyn	0.3846154	15
					1)	_dyna	0.9375	15
					2)	Esc	0.0625	1
				3)	_dys	0.102564104	4
					1)	_dysf	0.8	4
					2)	Esc	0.2	1
				4)	Esc	0.07692308	3
			14)	Esc	3.1166838E-4	13
		3)	_l	0.123181276	32163
			1)	_la	0.36561713	11763
				1)	_la_	0.85254395	10037
				2)	_lan	0.01435488	169
					1)	_lan_	0.125	21
					2)	_lann	0.29761904	50
					3)	_lanc	0.3809524	64
					4)	_lana	0.05952381	10
					5)	_lang	0.10714286	18
					6)	Esc	0.029761905	5
				3)	_las	0.0056909877	67
					1)	_lass	0.73913044	51
					2)	_lasp	0.13043478	9
					3)	_lasi	0.08695652	6
					4)	Esc	0.04347826	3
				4)	_lar	0.019791048	233
					1)	_lart	0.4224138	98
					2)	_larg	0.50431037	117
					3)	_larm	0.038793102	9
					4)	_larr	0.01724138	4
					5)	Esc	0.01724138	4
				5)	_lac	0.01571392	185
					1)	_lacc	0.4918919	91
					2)	_lact	0.3189189	59
					3)	_lacq	0.054054055	10
					4)	_lacu	0.08648649	16
					5)	_lach	0.021621622	4
					6)	Esc	0.027027028	5
				6)	_lav	0.013080778	154
					1)	_lavo	0.10897436	17
					2)	_lave	0.5769231	90
					3)	_lavi	0.1923077	30
					4)	_lava	0.09615385	15
					5)	Esc	0.025641026	4
				7)	_lai	0.011551856	136
					1)	_lair	0.021582734	3
					2)	_lais	0.4532374	63
					3)	_laid	0.2877698	40
					4)	_lai_	0.17985612	25
					5)	_lait	0.021582734	3
					6)	Esc	0.035971224	5
				8)	_lap	0.008239191	97
					1)	_lapp	0.9361702	88
					2)	_laps	0.04255319	4
					3)	Esc	0.021276595	2
				9)	_laq	0.011212096	132
					1)	_laqu	0.99248123	132
					2)	Esc	0.007518797	1
				10)	_lau	0.01410006	166
					1)	_laur	0.01775148	3
					2)	_laut	0.7751479	131
					3)	_laub	0.02366864	4
					4)	_laug	0.112426035	19
					5)	_laud	0.041420117	7
					6)	Esc	0.0295858	5
				11)	_lad	0.0074747303	88
					1)	_lado	0.31868133	29
					2)	_ladi	0.032967035	3
					3)	_ladm	0.21978022	20
					4)	_ladh	0.20879121	19
					5)	_ladr	0.07692308	7
					6)	_lada	0.07692308	7
					7)	Esc	0.06593407	6
				12)	_lat	0.002887964	34
					1)	_latt	0.9677419	30
					2)	Esc	0.032258064	1
				13)	_lam	0.008239191	97
					1)	_lame	0.44554454	45
					2)	_lamé	0.2970297	30
					3)	_lamb	0.05940594	6
					4)	_lamo	0.05940594	6
					5)	_lamp	0.04950495	5
					6)	_lami	0.02970297	3
					7)	Esc	0.05940594	6
				14)	_lag	0.0039072456	46
					1)	_lagr	0.63829786	30
					2)	_lage	0.31914893	15
					3)	Esc	0.04255319	2
				15)	_lab	0.003567485	42
					1)	_labs	0.5714286	24
					2)	_labo	0.2857143	12
					3)	_labu	0.071428575	3
					4)	Esc	0.071428575	3
				16)	_laf	0.002803024	33
					1)	_laff	0.6857143	24
					2)	_lafr	0.25714287	9
					3)	Esc	0.057142857	2
				17)	_lal	0.0033976047	40
